site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
,Abadah,,level II-III,BM-1823,charcoal,,5770,45,,Bohner2004-ba,Burleigh et al. 1982b,FALSE,,,,,,,,,,,
,Abadah,,level I,BM-1822,charcoal,,31000,1250,,Bohner2004-ba,Burleigh et al. 1982b,TRUE,,,,,,,,,,,
TCEC185,Ali Agha,,,P-1499,charcoal,,6927,63,,Bohner2004-ba,Lawn 1973,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,BM,,B-108256,unknown,,8000,50,,Bohner2004-ba,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,MJ,,B-118719,unknown,,8130,70,,Bohner2004-ba,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,B-118720,unknown,,8140,70,,Bohner2004-ba,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,AK,,B-118722,unknown,,8110,80,,Bohner2004-ba,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,B-118723,unknown,,8490,90,,Bohner2004-ba,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,B-118724,unknown,,8340,100,,Bohner2004-ba,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,B-122721,unknown,,8540,90,,Bohner2004-ba,Zeder & Hesse 2000,FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,H-1833,charcoal,,8425,180,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,H-1845,unknown,,8250,175,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,H-1848,unknown,,7770,330,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,I-1489,plant remains,,7660,170,,Bohner2004-ba,"Buckley et al. 1968, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,I-1490,charcoal,,9950,190,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,I-1491,charcoal,,8100,170,,Bohner2004-ba,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,I-1494,charcoal,,7820,190,,Bohner2004-ba,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,I-1495,charcoal,,7220,160,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
TCEC186,Ali Kosh,,,I-1496,plant remains,,7380,130,,Bohner2004-ba,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
