LABNR,GR,C14AGE,C14STD,C13,COUNTRY,SITE,MAR,MATERIAL,SPECIES,PHASE,LOCUS,SAMPLE,CULTURE,PERIOD,calBC68,calBC95,REGION,LATITUDE,LONGITUDE,INCONGR,NOTICE,REFERENCE,ID
LE-434,---,"4870","150",0,Azerbaijan,K�ltepe,"-",n.d.,---,"� 15,35 m de profondeur","� 15,35 m de profondeur",---,Chalc.,CH, 3660 +- 190,4040 - 3280,07.01 N-Zagros,39.24,45.33,---,---,"Dolukhanov and Romanovka 1970, Dolukhanov and Timofeev 1972, Chataigner 1995","1808"
LE-163,---,"4880","90",0,Azerbaijan,K�ltepe,"-",n.d.,---,"� 8,5 m de profondeur (niveau du Bronze Ancien)","� 8,5 m de profondeur (niveau du Bronze Ancien)",---,BZ,BR, 3670 +- 110,3890 - 3450,07.01 N-Zagros,39.24,45.33,---,---,"Butomo 1965, Chataigner 1995","1809"
LE-477,---,"5770","90",0,Azerbaijan,K�ltepe,"-",n.d.,---,"� 18,2 m de profondeur","� 18,2 m de profondeur",---,Chalc.,CH, 4620 +- 100,4820 - 4420,07.01 N-Zagros,39.24,45.33,---,"Banadora: le date reelle n'est calculee faute de renseignements sur la marge d' erreur, LAB 5932 +- 0 BP","Artemev et al. 1961, Iessen 1965, Mellaart 1975, Chataigner 1995","1798"
GX-6358,---,"7485","280",0,Iran,Abdul Hosein,"-",n.d.,---,"� 0,75 m au-dessus du sol vierge","� 0,75 m au-dessus du sol vierge",---,Neo.,PN, 6380 +- 290,6960 - 5800,07.01 N-Zagros,34.18,48.17,---,---,"Pullar 1981, Pullar 1990","407"
GX-6353,---,"8100","255",0,Iran,Abdul Hosein,"-",n.d.,---,"niv. aceraiques les plus profonds, juste au-dessus du sol vierge","niv. aceraiques les plus profonds, juste au-dessus du sol vierge",---,Neo.,PN, 7060 +- 320,7700 - 6420,07.01 N-Zagros,34.18,48.17,---,---,"Pullar 1981, Pullar 1990","403"
GX-6359,---,"8655","240",0,Iran,Abdul Hosein,"-",n.d.,---,"niv. aceramiques les plus profonds, juste au-dessus du sol vierge","niv. aceramiques les plus profonds, juste au-dessus du sol vierge",---,Neo.,PN, 7800 +- 310,8420 - 7180,07.01 N-Zagros,34.18,48.17,---,---,"Pullar 1981, Pullar 1990","408"
GX-6355,---,"8665","195",0,Iran,Abdul Hosein,"-",n.d.,---,"niv. aceramiques les plus profondes, juste au-dessus du sol vierge","niv. aceramiques les plus profondes, juste au-dessus du sol vierge",---,Neo.,PN, 7830 +- 260,8350 - 7310,07.01 N-Zagros,34.18,48.17,---,---,"Pullar 1981, Pullar 1990","404"
GX-6357,---,"8935","245",0,Iran,Abdul Hosein,"-",n.d.,---,"le plus recent � 1,5 m au-dessus du sol vierge","le plus recent � 1,5 m au-dessus du sol vierge",---,Neo.,PN, 8080 +- 320,8720 - 7440,07.01 N-Zagros,34.18,48.17,---,---,"Pullar 1981, Pullar 1990","406"
GX-6356,---,"8945","275",0,Iran,Abdul Hosein,"-",n.d.,---,"� 0,50 m au-dessous de GX-6357","� 0,50 m au-dessous de GX-6357",---,Neo.,PN, 8110 +- 360,8830 - 7390,07.01 N-Zagros,34.18,48.17,---,---,"Pullar 1981, Pullar 1990","405"
I-1495,---,"7220","160",0,Iran,Ali Kosh,"-",charcoal,charcoal/ ash,---,---,---,PN,PN, 6100 +- 160,6420 - 5780,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Mohammad Jaffar, AK 85 90","Hole et al. 1969, Hole 1987","243"
I-1496,---,"7380","130",0,Iran,Ali Kosh,"-",seeds,carbinized grain ans ash,---,---,---,PPN,ACN, 6250 +- 130,6510 - 5990,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase du Bus Mordeh,AK 91 525, date attendue 7000-8000 BC","Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987","244"
OxA-1775,---,"7480","90",0,Iran,Ali Kosh,"-",bone,"petrous, (ch�vre), burnt",petreure 100,petreure 100,---,Bus Mordeh,PN, 6340 +- 90,6520 - 6160,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Bus Mordeh, OxA-1774 sont dans lordre straigraphique, OxA-1775, trop jeune",Housley 1994,"248"
I-1489,---,"7660","170",0,Iran,Ali Kosh,"-",seeds,carbinized grain,directement au-dessus du sol vierge,directement au-dessus du sol vierge,---,PPN,ACN, 6560 +- 200,6960 - 6160,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Bus Mordeh, AK 94 691","Buckley et al. 1968, Hole et al. 1969, Hole 1987","239"
SI-207,---,"7740","600",0,Iran,Ali Kosh,"-",charcoal,---,---,---,---,PPN,ACN, 6750 +- 660,8070 - 5430,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: associe � la phase final d'Ali Kosh, preceramique, (echantillon de tr�s petite taille)","Long and Mielke 1967, Hole et al. 1969, Hole 1987","252"
H-1848,---,"7770","330",0,Iran,Ali Kosh,"-",organic material,mati�re organique,foyer sous un mur de briques ecroule,foyer sous un mur de briques ecroule,---,PPN,ACN, 6730 +- 380,7490 - 5970,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Ali Kosh, A 26, LAB O-1848/H-1848","Hole et al. 1969, Hole 1987","237"
I-1494,---,"7820","190",0,Iran,Ali Kosh,"-",charcoal,charcoal/ ash,---,---,---,PN,PN, 6760 +- 240,7240 - 6280,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Mohammad Jaffar, AK 59 150","Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987","242"
OxA-1773,---,"7830","90",0,Iran,Ali Kosh,"-",bone,"metapodial (ch�vre), burnt",---,---,metapodial 97570,Bus Mordeh,PN, 6740 +- 160,7060 - 6420,05.03 Lower Mesopotamia,32.56,47.32,---,Baadora: phase de Bus Mordeh,Housley 1994,"246"
OxA-1774,---,"7950","110",0,Iran,Ali Kosh,"-",bone,"astralagus (ch�vre), burnt",---,---,astralagus 97680,Bus Mordeh,PN, 6860 +- 160,7180 - 6540,05.03 Lower Mesopotamia,32.56,47.32,---,Banadora: phase de Bus Mordeh,Housley 1994,"247"
B-108256,---,"8000","50",0,Iran,Ali Kosh,"-",organic material,carbon,"level BM, depth 546cm","level BM, depth 546cm",---,PPN,ACN, 6910 +- 110,7130 - 6690,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5707"
I-1491,---,"8100","170",0,Iran,Ali Kosh,"-",charcoal,charcoal/ ash,---,---,---,PPN,ACN, 7060 +- 260,7580 - 6540,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Ali Kosh, AK 69 260","Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987","241"
B-118722,---,"8110","80",0,Iran,Ali Kosh,"-",organic material,carbon,"level AK, depth 210-230cm","level AK, depth 210-230cm",---,PPN,ACN, 7090 +- 160,7410 - 6770,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5703"
B-118719,---,"8130","70",0,Iran,Ali Kosh,"-",organic material,carbon,"level MJ, depth 70-80cm","level MJ, depth 70-80cm",---,PPN,ACN, 7160 +- 110,7380 - 6940,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5701"
B-118720,---,"8140","70",0,Iran,Ali Kosh,"-",organic material,carbon,"level MJ, depth 130-140cm","level MJ, depth 130-140cm",---,PPN,ACN, 7170 +- 110,7390 - 6950,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5702"
H-1845,---,"8250","175",0,Iran,Ali Kosh,"-",organic material,organic material,---,---,---,PPN,ACN, 7240 +- 220,7680 - 6800,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora:phase de Ali Kosh, A 32, LAB O-1845/H-1845","Hole et al. 1969, Hole 1987","236"
B-118724,---,"8340","100",0,Iran,Ali Kosh,"-",organic material,carbon,"level AK, depth 380-400cm","level AK, depth 380-400cm",---,PPN,ACN, 7360 +- 140,7640 - 7080,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5705"
S-1246,---,"8410","200",0,Iran,Ali Kosh,"-",charcoal,---,foyer sous un mur ecroule,foyer sous un mur ecroule,---,PPN,ACN, 7420 +- 240,7900 - 6940,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: m�me foyer quw O-1816 et 1833, phase de Ali Kosh, A 33 9","Hole et al. 1969, Hole 1987","250"
O-1816,---,"8425","180",0,Iran,Ali Kosh,"-",charcoal,---,foyer sous deblais,foyer sous deblais,---,PPN,ACN, 7430 +- 220,7870 - 6990,05.03 Lower Mesopotamia,32.56,47.32,---,"m�me foyer que O-1833 et S-1246, phase de Ali Kosh, A 33 10; Identisch mit H-1833? �berpr�fen","Hole et al. 1969, Hole 1987","245"
H-1833,---,"8425","180",0,Iran,Ali Kosh,"-",charcoal,---,foyer sous deblais,foyer sous deblais,---,PPN,ACN, 7430 +- 220,7870 - 6990,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: LAB O-1833/H-1833, m�me foyer que O-1816 et S-1246, phase de Ali Kosh, A 33 8","Hole et al. 1969, Hole 1987","238"
B-118723,---,"8490","90",0,Iran,Ali Kosh,"-",organic material,carbon,"level AK, depth 280-300cm","level AK, depth 280-300cm",---,PPN,ACN, 7520 +- 80,7680 - 7360,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5704"
B-122721,---,"8540","90",0,Iran,Ali Kosh,"-",organic material,carbon,"level BM, depth 635cm","level BM, depth 635cm",---,PPN,ACN, 7600 +- 90,7780 - 7420,05.03 Lower Mesopotamia,32.56,47.32,---,---,Zeder and Hesse 2000,"5706"
S-1174,---,"8850","210",0,Iran,Ali Kosh,"-",charcoal,---,niv. plus ou moins sterile,niv. plus ou moins sterile,---,PPN,ACN, 7970 +- 260,8490 - 7450,05.03 Lower Mesopotamia,32.56,47.32,---,"Banadora: phase de Ali Kosh, A 22","Hole et al. 1969, Hole 1987","249"
