"LabID","CRA","Error","Material","Species","SiteName","Country","Longitude","Latitude","Region"
"AA-1164",9100,140,"charcoal","Pisum","'Ain Ghazal","JO",35.976,31.988,"1"
"AA-1167",8570,180,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-25037",8775,75,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-25424",8030,65,"charcoal/mortar",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-25425",8080,65,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-25426",8205,65,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-25427",7910,60,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-25428",7910,60,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-25429",7980,55,"seeds (charred)","Lens","'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5196",7670,100,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5197",8090,75,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5198",7960,75,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5199",8270,75,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5200",8780,70,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5201",8235,70,"wood",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5202",8310,70,"wood",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5203",8200,75,"wood",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5205",7895,95,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"AA-5206",7990,80,"seeds (charred)","Pisum","'Ain Ghazal","JO",35.976,31.988,"1"
"AA-98396",7975,56,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Beta-19906",8970,150,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Beta-19907",8520,110,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Erl-14758",8004,38,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Erl-14762",7921,40,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Erl-14763",7955,40,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Erl-14764",8004,40,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Erl-14765",8723,38,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"Erl-14768",8554,39,"bone","Bos","'Ain Ghazal","JO",35.976,31.988,"1"
"Erl-14769",8796,40,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12959",9000,90,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12960",9030,80,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12961",8930,60,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12962",8680,190,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12963",8970,80,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12964",8970,80,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12965",9050,80,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12966",9200,110,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12967",8930,80,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12968",8970,110,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12969",8810,80,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12970",8650,200,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12971",8460,90,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-12972",8165,50,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-14257",8720,80,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-14258",8810,160,"seed (charred)","Pisum","'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-17494",7825,65,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"GrN-17495",7915,95,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4877",8208,77,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4878",8253,76,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4879",7952,77,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4880",7726,73,"seeds (charred)","Lens","'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4881",7880,82,"seeds (charred)","Lens","'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4882",7809,74,"seeds (charred)","Lens","'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4883",8230,76,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4884",7857,74,"seeds (charred)","Lens","'Ain Ghazal","JO",35.976,31.988,"1"
"KN-4885",7939,87,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-5054",8236,81,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-5055",8162,62,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-5056",8083,47,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
"KN-5188",8515,50,"charcoal",,"'Ain Ghazal","JO",35.976,31.988,"1"
