LabID,CRA,Error,Material,Species,SiteName,Country,Longitude,Latitude,Region
P-585,"8064","78",charcoal,,Arpachiyah,IQ,43.2033,36.3633,"2"
Beta-368934,"8610","50",bone,,Bestansur,IQ,45.2059,35.3768,"2"
GrN-10590,"12230","190",,,Bouqraz,SY,40.39,35.02,"2"
GrN-10591,"7945","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-10592,"8110","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13080,"8365","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13081,"7520","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13082,"7530","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13090,"7880","60",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13099,"8025","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13100,"8080","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13101,"8230","35",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13102,"8345","35",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13103,"8285","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-13104,"8300","50",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-4818,"8140","60",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-4819,"7960","55",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-4820,"7840","60",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-4852,"8240","100",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-8258,"8115","40",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-8259,"7925","40",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-8260,"7905","45",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-8261,"8155","45",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-8262,"8380","45",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-8263,"8330","80",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-8264,"7860","40",charcoal,,Bouqraz,SY,40.39,35.02,"2"
GrN-9831,"8170","100",,,Es Sinn,SY,40.35,35.27,"2"
GrN-9832,"8280","40",,,Es Sinn,SY,40.35,35.27,"2"
GrN-9833,"8650","50",,,Es Sinn,SY,40.35,35.27,"2"
AA-30508,"7710","85",bone (charred),animal,Feyda,SY,40.35,36.65,"2"
AA-30509,"7945","85",bone (charred),animal,Feyda,SY,40.35,36.65,"2"
Beta-46647,"10040","160",charcoal,,Hallan Çemi Tepesi,TR,41.2389,38.2272,"2"
Beta-47211,"10060","120",charcoal,,Hallan Çemi Tepesi,TR,41.2389,38.2272,"2"
