site_id,site_name,site_phase,context,lab_id,material,taxon,c14_age,c14_error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
816,Abadah,,level I,BM-1822,charcoal,,31000,1250,,Bohner2004-ba,Burleigh et al. 1982b,TRUE,,,,,,,,,,,
816,Abadah,,level II-III,BM-1823,charcoal,,5770,45,,Bohner2004-ba,Burleigh et al. 1982b,FALSE,,,,,,,,,,,
816,Abadah,,level II-III; level II-III,BM-1823R,charcoal,,5920,100,,NERD,Burleigh et al. 1982; Flohr et al. 2016,FALSE,,,,,,,,,,,
185,Ali Agha,,,P-1499,charcoal,,6927,63,,Bohner2004-ba,Lawn 1973,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1052,AAR-28755,Charcoal (Tamarisk),,7997,42,36.95 ± 0.19,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1028,AAR-28756,Charcoal (pil),,7998,42,36.95 ± 0.19,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1022,AAR-28757,Charcoal (ubestemt),,8038,40,36.76 ± 0.18,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1145,AAR-28758,Charcoal (Pistacie),,8352,45,35.36 ± 0.2,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1150,AAR-28759,Charcoal (Pistacie),,8440,44,34.97 ± 0.19,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1079,AAR-28760,Organic material,,8021,44,36.84 ± 0.2,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1114,AAR-28761,Charcoal (Tamarisk),,8410,38,35.1 ± 0.17,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1062,AAR-28762,Charcoal (Tamarisk),,7997,41,36.95 ± 0.19,TCEC,,FALSE,,,,,,,,,,,
186,Ali Kosh,,AK 1003,AAR-28763,Organic material,,37895,357,0.89 ± 0.04,TCEC,,TRUE,,,,,,,,,,,
186,Ali Kosh,BM,"level BM, depth 546cm; 546 cm depth; BM, depth 546 cm",Beta-108256,bone (carbon),,8000,50,,NERD,Zeder a Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,MJ,"AK-MJ; Level MJ, depth 70-80cm; MJ, depth 70-80cm",Beta-118719,bone (carbon),,8130,70,,NERD,Zeder and Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"AK-MJ; Level MJ, depth 130-140cm; MJ, depth 130-140cm",Beta-118720,bone (carbon),,8140,70,,NERD,Zeder and Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"AK-180-200 cm depth; AK, depth 180-200 cm",Beta-118721,bone (carbon),,8720,100,,NERD,Zeder and Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,AK,"AK-AK; Level AK, depth 210-230cm; AK, depth 210-230cm",Beta-118722,bone (carbon),,8110,80,,NERD,Zeder and Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"AK-AK; Level AK, depth 280-300cm; AK, depth 280-300 cm",Beta-118723,bone (carbon),,8490,90,,NERD,Zeder and Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"AK-AK; Level AK, depth 380-400cm; AK, depth 380-400 cm",Beta-118724,bone (carbon),,8340,100,,NERD,Zeder and Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"AK-BM; 635 cm depth; BM, depth 635 cm",Beta-122721,bone,,8540,90,,NERD,Zeder and Hesse 2000; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"MJ, 50-60 cm depth",Beta-137020,bone,animal,7100,70,,NERD,Zeder  2008; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"AK, 250-270 cm depth",Beta-137021,bone,animal,8450,70,,NERD,Zeder  2008; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"BM, 680-710 cm depth",Beta-137024,bone,animal,8410,50,,NERD,Zeder  2008; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"MJ, 90-100 cm depth",Beta-177122,bone (carbon),animal,7550,40,,NERD,Zeder  2008; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"AK, 230 cm depth",Beta-177124,bone (carbon),animal,8050,40,,NERD,Zeder  2008; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,"BM, 680 cm depth",Beta-177126,bone (carbon),animal,8530,40,,NERD,Zeder  2008; CalPal; Flohr et al. 2016,FALSE,,,,,,,,,,,
186,Ali Kosh,,,H-1833,charcoal,,8425,180,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,H-1845,unknown,,8250,175,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,H-1848,unknown,,7770,330,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,I-1419,,,9950,190,,NERD,Pinhasi et al. 2005,FALSE,,,,,,,,,,,
186,Ali Kosh,,,I-1489,plant remains,,7660,170,,Bohner2004-ba,"Buckley et al. 1968, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,I-1490,charcoal,,9950,190,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,I-1491,charcoal,,8100,170,,Bohner2004-ba,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,I-1494,charcoal,,7820,190,,Bohner2004-ba,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,I-1495,charcoal,,7220,160,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,I-1496,plant remains,,7380,130,,Bohner2004-ba,"Buckley et al. 1968, Barker et al. 1969, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,O-1816,charcoal,,8425,180,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,OxA-1773,bone,,7830,90,,Bohner2004-ba,Housley 1994,FALSE,,,,,,,,,,,
186,Ali Kosh,,,OxA-1774,bone,,7950,110,,Bohner2004-ba,Housley 1994,FALSE,,,,,,,,,,,
186,Ali Kosh,,,OxA-1775,bone,,7480,90,,Bohner2004-ba,Housley 1994,FALSE,,,,,,,,,,,
186,Ali Kosh,,,S-1174,charcoal,,8850,210,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,S-1246,charcoal,,8410,200,,Bohner2004-ba,"Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,SI-160,plant remains,Prosopis sp.,8920,100,,Bohner2004-ba,"Long and Mielke 1966, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,SI-160R,plant remains,Prosopis sp.,8890,200,,Bohner2004-ba,"Long and Mielke 1966, Hole et al. 1969",FALSE,,,,,,,,,,,
186,Ali Kosh,,,SI-207,charcoal,,7740,600,,Bohner2004-ba,"Long and Mielke 1967, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
186,Ali Kosh,,,UCLA-750D,charcoal,,9900,200,,Bohner2004-ba,"Berger et al. 1965, Hole et al. 1969, Hole 1987",FALSE,,,,,,,,,,,
696,Aqab,,,Beta-536,,,6160,70,,Bohner2004-ba,Watkins and Campbell 1987,FALSE,,,,,,,,,,,
382,Areni 1 cave,,Unit 1002,OxA-18197,seed,Prunus,5077,29,,NERD,Areshian 2012; CalPal,FALSE,,,,,,,,,,,
382,Areni 1 cave,,"Unit 2002, wrapping a jar",OxA-18198,plant remains,Poaceae,5098,29,,NERD,Areshian 2012; CalPal,FALSE,,,,,,,,,,,
382,Areni 1 cave,,"trench 1, burial 3",OxA-18599,bone,Homo sapiens,5285,29,,NERD,Pinhasi et al. 2010,FALSE,,,,,,,,,,,
382,Areni 1 cave,,"burnt layer underneath structure 2, Square L29, spit 2",OxA-18600,charcoal,Acer,4460,29,,NERD,Areshian 2012; CalPal,FALSE,,,,,,,,,,,
382,Areni 1 cave,,"Squares N30/O30, spit 5/6, locus 2",OxA-18601,charcoal,Tamarix,4601,28,,NERD,Areshian 2012; CalPal,FALSE,,,,,,,,,,,
382,Areni 1 cave,,"trench 1, burial 2",OxA-19331,bone,Homo sapiens,5366,31,,NERD,Pinhasi et al. 2010,FALSE,,,,,,,,,,,
382,Areni 1 cave,,"trench 1, burial 1",OxA-19332,bone,Homo sapiens,5323,30,,NERD,Pinhasi et al. 2010,FALSE,,,,,,,,,,,
382,Areni 1 cave,,trench 3,OxA-20581,leather,animal,4725,32,-19.4,NERD,Pinhasi et al. 2010,FALSE,,,,,,,,,,,
382,Areni 1 cave,,trench 3,OxA-20582,leather,animal,4708,32,-19.3,NERD,Pinhasi et al. 2010,FALSE,,,,,,,,,,,
382,Areni 1 cave,,trench 3,OxA-20583,plant remains,Poaceae,4810,31,-25.1,NERD,Pinhasi et al. 2010,FALSE,,,,,,,,,,,
382,Areni 1 cave,,Unit 1006,UCIAMS-40181,charcoal,,7440,25,,NERD,Areshian 2012; CalPal,FALSE,,,,,,,,,,,
382,Areni 1 cave,,from bottom of the second chalcolithic Level,UCIAMS-40182,charcoal,,5230,25,,NERD,Areshian 2012; CalPal,FALSE,,,,,,,,,,,
382,Areni 1 cave,,"Unit 1003, Square R23, Burial 1",UCIAMS-40183,charcoal,,5090,25,,NERD,Areshian 2012; CalPal,FALSE,,,,,,,,,,,
