site_id,source_id,lchto_id,name,name2,latitude,longitude,coord_precision,coord_source,morphology,chronology,short_period,period_LP,period_MP,period_UP,period_EP,period_N0,period_N1.1,period_N1.2,period_N2,period_N3,period_C1,period_C2,period_C3,period_B,period_H,area,finds_n,excavated,references,comments
1,H158,,Pal Barik,,33.743,47.2273,,Map,Flat open air,Lower Palaeolithic,LP,x,,,,,,,,,,,,,,4000,89,0,Mortensen 1993: 161-3,
2,H54,,Ghar Huchi,,33.7142,47.0715,,Map,Cave/shelter,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,62,14,0,Mortensen 1993: 163,
3,H83,,Ghar Villa,,33.7981,47.0091,,Map,Cave/shelter,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,16,40,0,Mortensen 1993: 163,
4,H95,,Ghar Sefid,,33.7456,47.0106,,Map,Cave/shelter,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,12,38,0,Mortensen 1993: 164,
5,H29,,Chesmeh Kahreh,,33.7427,47.0164,,Map,Flat open air,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,,55,0,Mortensen 1993: 164,
6,H94,,Sar Sarab A,,33.737,47.0182,,Map,Flat open air,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,,19,0,Mortensen 1993: 164,
7,H101,,Hulailan 101,,33.7868,47.1247,,Map,Flat open air,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,,27,0,Mortensen 1993: 164,
8,H136,,Saimarreh E,,33.7158,47.1378,,Map,Flat open air,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,,29,0,Mortensen 1993: 164,
9,H138,,Saimarreh F,,33.7132,47.1505,,Map,Flat open air,Middle Palaeolithic,MP,,x,,,,,,,,,,,,,,55,0,Mortensen 1993: 164,
10,H31,,Mar Gurgalan Sarab,,33.744,47.0098,,Map,Cave/shelter,Epipalaeolithic,EP,,,,x,,,,,,,,,,,96,433,0,Mortensen 1993: 165-6,
11,H22,,Mar Ruz,,33.75468779,47.02657124,5,Ground,Cave/shelter,Epipalaeolithic,EP,,,,x,,,,,,,,,,,66,311,0,Mortensen 1993: 166,
12,H24,,Ghar-i Gagel,,33.7575,47.0161,,Map,Cave/shelter,Epipalaeolithic,EP,,,,x,,,,,,,,,,,12,3,0,Mortensen 1993: 166,
13,H42,,Sal Mar,,33.7642,47.0443,,Map,Cave/shelter,Epipalaeolithic,EP,,,,x,,,,,,,,,,,32,3,0,Mortensen 1993: 166,
14,H43-44,,Dar Mar,,33.75072962,47.04805819,5,Ground,Cave/shelter,Epipalaeolithic or Neolithic?,EP/N,,,,?,?,?,?,?,?,,,,,,599,75,0,Mortensen 1993: 166-7,
15,H79,,Ghar Qalajaha,,33.754,47.0376,,Map,Cave/shelter,Upper or Epipalaeolithic?,UP/EP,,,?,?,,,,,,,,,,,8,4,0,Mortensen 1993: 167,
16,H71,,Warbar,,33.7929,47.0878,,Map,Flat open air,Upper or Epipalaeolithic?,UP/EP,,,?,?,,,,,,,,,,,,6,0,Mortensen 1993: 167,
